Index	ID
238	Sample237.1_25R08C01
239	Sample224.1_25R07C01
240	Sample212.1_25R06C01
241	Sample198.1_26R01C01
242	Sample199.1_26R07C01
243	Sample187.1_26R06C01
244	Sample116.1_26R08C01
245	Sample115.1_26R02C01
246	Sample151.1_26R03C01
247	Sample163.1_26R04C01
248	Sample175.1_26R05C01
250	Sample258.1_27R07C01
251	Sample245.1_27R03C01
252	Sample282.1_27R08C01
253	Sample281.1_27R05C01
254	Sample257.1_27R04C01
255	Sample234.1_27R06C01
256	Sample233.1_27R02C01
258	Sample255.1_28R01C01
259	Sample244.1_28R06C01
260	Sample267.1_28R02C01
261	Sample256.1_28R07C01
262	Sample219.1_28R04C01
263	Sample279.1_28R03C01
264	Sample232.1_28R05C01
265	Sample128.1_29R01C01
266	Sample117.1_29R08C01
267	Sample152.1_29R03C01
268	Sample188.1_29R06C01
269	Sample200.1_29R07C01
270	Sample176.1_29R05C01
271	Sample140.1_29R02C01
272	Sample164.1_29R04C01
273	Sample295.1_30R01C01
274	Sample209.1_30R02C01
275	Sample259.1_30R04C01
276	Sample235.1_30R03C01
277	Sample296.1_30R07C01
278	Sample271.1_30R05C01
279	Sample211.1_30R08C01
280	Sample283.1_30R06C01
281	Samplec2.1_42R01C01
282	Sample517.1_42R02C01
283	Sample518.1_42R08C01
284	Samplec3.1_42R07C01
285	Sample542.1_42R03C01
286	Sample567.1_42R04C01
287	Sample579.1_42R05C01
288	Sample591.1_42R06C01
289	Sample359.1_31R01C01
290	Sample385.1_31R08C01
291	Sample308.1_31R03C01
292	Sample348.1_31R05C01
293	Sample360.1_31R06C01
294	Sample371.1_31R02C01
295	Sample372.1_31R07C01
296	Sample321.1_31R04C01
297	Sample543.1_43R02C01
298	Sample530.1_43R01C01
299	Sample568.1_43R04C01
300	Sample556.1_43R03C01
301	Samplec5.1_43R07C01
302	Sample519.1_43R08C01
303	Sample580.1_43R05C01
304	Sample592.1_43R06C01
305	Sample527.1_44R01C01
306	Sample577.1_44R07C01
307	Sample167.1_44R03C01
309	Sample540.1_44R04C01
310	Sample589.1_44R08C01
311	Sample553.1_44R05C01
312	Sample565.1_44R06C01
313	Sample468.1_45R02C01
314	Sample494.1_45R04C01
315	Sample495.1_45R08C01
316	Sample456.1_45R05C01
317	Sample455.1_45R01C01
318	Sample482.1_45R03C01
319	Sample470.1_45R06C01
320	Sample483.1_45R07C01
321	Sample597.1_46R03C01
322	Sample524.1_46R05C01
323	Sample561.1_46R01C01
324	Sample573.1_46R02C01
325	Sample512.1_46R04C01
326	Sample536.1_46R06C01
327	Sample550.1_46R07C01
328	Sample562.1_46R08C01
329	Sample460.1_47R01C01
330	Sample498.1_47R03C01
331	Sample511.1_47R05C01
332	Sample473.1_47R02C01
333	Sample535.1_47R07C01
334	Sample548.1_47R08C01
335	Sample510.1_47R04C01
336	Sample523.1_47R06C01
337	Sample497.1_48R04C01
338	Sample421.1_48R06C01
339	Sample433.1_48R01C01
340	Sample472.1_48R03C01
341	Sample434.1_48R07C01
342	Sample458.1_48R02C01
343	Sample447.1_48R08C01
344	Sample509.1_48R05C01
345	Sample481.1_49R06C01
346	Sample467.1_49R05C01
347	Sample493.1_49R07C01
